,Title,Tomatometer,Popcornmeter,Streaming Start
0,Sugarcane,100.0,85.0,10.12.2024
1,Nutcrackers,43.0,53.0,29.11.2024
2,Alien: Romulus,80.0,85.0,15.10.2024
3,Gladiator,80.0,87.0,15.06.2011
4,28 Weeks Later,72.0,66.0,19.11.2015
5,Kinds of Kindness,71.0,48.0,27.08.2024
6,Smile,79.0,78.0,15.11.2022
7,Sleeping Dogs,43.0,83.0,09.04.2024
8,The Polar Express,56.0,64.0,12.12.2011
9,Late Night with the Devil,97.0,82.0,19.04.2024
10,Die Hard,94.0,94.0,02.09.2014
11,Elf,86.0,79.0,11.12.2015
12,The Family Stone,52.0,63.0,01.12.2014
13,National Lampoon's Christmas Vacation,71.0,86.0,22.12.2010
14,Thelma,98.0,83.0,19.07.2024
15,Ready or Not,89.0,78.0,27.08.2019
16,Sonic the Hedgehog 2,69.0,96.0,24.05.2022
17,Four Christmases,25.0,47.0,01.07.2011
18,Jingle All the Way,20.0,41.0,01.03.2013
19,Little Women,95.0,92.0,25.12.2019
20,All of Us Strangers,96.0,91.0,22.02.2024
21,Sonic the Hedgehog,64.0,93.0,31.03.2020
22,Happiest Season,82.0,73.0,25.11.2020
23,Poor Things,93.0,79.0,27.02.2024
24,Kingdom of the Planet of the Apes,80.0,77.0,09.07.2024
25,Deep Water,35.0,24.0,18.03.2022
26,Immaculate,71.0,58.0,16.04.2024
27,Sting,70.0,63.0,14.05.2024
28,Nightmare Alley,80.0,68.0,08.03.2022
29,Bullet Train,53.0,76.0,03.12.2022
30,Hold Your Breath,40.0,48.0,03.10.2024
31,Miracle on 34th Street,60.0,62.0,01.03.2013
32,Once Upon a Time... In Hollywood,86.0,70.0,27.08.2019
33,A Man Called Otto,70.0,97.0,28.02.2023
34,The Greatest Showman,56.0,86.0,22.12.2017
35,Perfect Days,96.0,90.0,05.03.2024
36,Alita: Battle Angel,61.0,91.0,09.07.2019
37,Edward Scissorhands,90.0,91.0,21.11.2014
38,Why Him?,40.0,51.0,14.03.2017
39,Prey,94.0,74.0,05.08.2022
40,The Creator,68.0,76.0,14.11.2023
41,La La Land,91.0,82.0,11.04.2017
42,Ad Astra,83.0,40.0,20.09.2019
43,The First Omen,83.0,70.0,28.05.2024
44,Fred Claus,20.0,45.0,02.07.2010
45,Fight Club,81.0,96.0,19.11.2014
46,The Convert,84.0,56.0,12.07.2024
47,Blood for Dust,78.0,76.0,19.04.2024
48,Boy Kills World,59.0,73.0,28.05.2024
49,Harriet,74.0,97.0,01.11.2019
50,Fresh,82.0,81.0,04.03.2022
51,Twilight,48.0,72.0,21.11.2015
52,Living,96.0,91.0,03.03.2023
53,Triangle of Sadness,71.0,80.0,22.11.2022
54,Alien: Covenant,65.0,55.0,10.07.2017
55,The Last Duel,85.0,81.0,30.11.2021
56,Where the Crawdads Sing,34.0,96.0,13.09.2022
57,Alone,93.0,54.0,18.09.2020
58,Barbarian,92.0,71.0,25.10.2022
59,Donnie Darko,87.0,80.0,25.04.2017
60,Babes,87.0,79.0,02.07.2024
